mp-284,0.21
mp-28610,2.63
mp-2927,-20.34
mp-29659,2.51
mp-29678,1.16
mp-2977,10.24
mp-29816,0.96
mp-2990,0.25
mp-30273,0.58
mp-30337,0.03
mp-30339,1.12
mp-30340,7.95
mp-30341,0.56
mp-30342,5.11
mp-30343,-5.16
mp-30344,4.6
mp-30347,-91.05
mp-30349,2.96
mp-30351,-11.34
mp-30352,0.18
mp-30353,0.69
mp-30354,1.17
mp-30355,0.41
mp-30357,0.27
mp-30360,2.77
mp-30362,0.13
mp-30727,5.91
mp-30737,3.56
mp-309,0.15
mp-30930,2.22
mp-31018,0.61
mp-31053,58.65
mp-31169,6.46
mp-31171,5.14
mp-31173,1.97
mp-32669,9.8
mp-331,7.01
mp-34418,2.7
mp-34460,32.51
mp-34611,-4.8
mp-3477,7.39
mp-3527,0.23
mp-353,-8.12
mp-35909,-6.06
mp-36029,3.19
mp-364,0.01
mp-36526,0.09
mp-36592,0.32
mp-37153,-20.44
mp-379,7.44
mp-395,0.06
mp-400,0.13
mp-4182,0.99
mp-4198,0.04
mp-4229,0.14
mp-4483,0.57
mp-472,-16.89
mp-4899,0.65
mp-499,14.86
mp-5014,2.03
mp-5058,1.08
mp-5342,0.71
mp-538,6.96
mp-542065,0.34
mp-542496,0.38
mp-550,0.0
mp-551,0.0
mp-551758,-4.81
mp-5518,0.69
mp-552185,0.61
mp-555166,0.77
mp-555477,0.84
mp-556094,0.87
mp-5564,0.2
mp-557680,6.44
mp-557862,0.54
mp-559847,0.9
mp-5605,0.2
mp-560676,-68.87
mp-5615,0.01
mp-567347,0.69
mp-567558,0.74
mp-567574,0.12
mp-567705,0.09
mp-567809,-62.26
mp-567891,0.75
mp-568404,2.56
mp-568607,0.04
mp-568654,0.59
mp-568719,1.69
mp-568917,0.07
mp-569114,0.68
mp-569724,0.17
mp-570256,1.14
mp-570301,0.22
mp-570683,0.66
mp-570687,0.11
mp-571053,0.08
mp-571454,15.53
mp-571594,1.06
mp-5729,0.24
mp-578,0.9
mp-5782,0.72
mp-5821,4.72
mp-603,0.02
mp-621131,0.09
mp-622209,0.06
mp-631561,0.04
mp-631567,-5.66
mp-631568,0.66
mp-631575,-6.96
mp-631581,6.14
mp-643431,2.34
mp-644504,0.17
mp-646824,0.33
mp-6543,-38.7
mp-6625,0.59
mp-669,1.04
mp-675402,7.32
mp-6917,0.21
mp-6954,0.8
mp-7093,0.3
mp-7237,-2.2
mp-7359,0.24
mp-7366,1.11
mp-7387,0.38
mp-752826,2.1
mp-752927,0.56
mp-753176,-5.05
mp-753226,5.67
mp-753260,7.27
mp-753326,1.94
mp-754110,5.0
mp-754326,2.89
mp-754531,1.38
mp-754954,2.75
mp-758302,0.85
mp-758604,1.26
mp-7592,-13.07
mp-7643,1.12
mp-7711,1.45
mp-775761,0.12
mp-776150,1.88
mp-776165,0.05
mp-7878,0.53
mp-7879,0.6
mp-7880,0.15
mp-7882,3.11
mp-7885,1.69
mp-7962,0.79
mp-813,0.01
mp-8200,2.42
mp-8222,-39.38
mp-8566,0.3
mp-8579,0.57
mp-8603,0.61
mp-861501,-26.65
mp-861735,11.22
mp-861867,-107.15
mp-861878,-25.18
mp-861883,2.53
mp-861884,0.86
mp-861966,-5.97
mp-861993,0.96
mp-862366,1.13
mp-862431,0.18
mp-862432,0.55
mp-862613,0.55
mp-862690,0.07
mp-862698,0.3
mp-862702,1.59
mp-862703,3.47
mp-862716,1.59
mp-862786,0.12
mp-862795,0.41
mp-862890,0.01
mp-862936,0.63
mp-862966,4.22
mp-862977,0.08
mp-864598,1.53
mp-864755,-7.93
mp-864775,9.56
mp-864794,6.36
mp-864795,1.51
mp-864892,2.8
mp-864893,1.54
mp-864932,3.57
mp-864952,0.21
mp-864962,0.17
mp-864976,9.12
mp-864978,1.96
mp-864981,0.03
mp-864991,-5.81
mp-865081,18.75
mp-865090,0.01
mp-865183,-14.34
mp-865426,0.42
mp-865446,2.33
mp-865470,0.0
mp-865502,2.62
mp-865527,1.95
mp-865546,0.03
mp-865558,1.06
mp-865561,0.02
